id,Population (1910 Census),Typhoid fever,Malarial fever,Measles,Scarlet fever,Whooping cough,Diphtheria,Croup (membranous),Influenza,Cholera nostras,Dysentary,Leprosy,Erysipelas,Epidemic cerebrospinal meningitis,Chicken-pox,Other epidemic diseases,Septicemia,Anthrax,Heart disease,Angina pectoris,Diseases of arteries,Embolism and thrombosis,Diseases of veins,Diseases of lymphatics,Hemorrhages (except of lungs),Diseases of nasal fossa,Laryngitis,Other diseases of larynx,Diseases of thyroid body,Acute bronchitis,Chronic bronchitis,Broncho-pneumonia,Pneumonia,Pleurisy,Congestion and apoplexy of lungs,Gangrene of lungs,Asthma
Ward 16,16175,1,0,3,0,4,4,0,76,0,0,0,1,0,0,0,0,0,21,2,3,0,0,0,1,0,0,0,0,4,0,32,42,6,0,0,1
Ward 17,17484,1,0,1,2,4,5,0,61,0,0,0,1,1,0,0,1,0,31,2,2,0,1,0,0,0,0,0,0,3,1,23,43,3,3,0,2
Ward 18,27134,0,0,1,0,0,4,0,137,0,1,0,2,0,0,0,1,0,70,0,17,3,0,0,0,0,1,0,0,3,0,53,76,3,5,0,2
Ward 19,52283,2,0,4,2,8,1,0,191,0,2,0,1,3,0,0,1,0,109,3,20,4,0,0,1,0,0,0,0,14,5,78,184,5,7,0,1
Ward 20,45356,3,0,0,2,7,9,0,173,0,0,0,0,3,0,0,0,0,118,4,18,2,0,0,0,0,0,0,0,5,2,96,121,5,4,1,2
Ward 21,35406,2,0,0,0,6,5,1,186,0,0,0,1,4,0,0,0,0,93,0,18,2,0,0,0,0,0,1,0,9,1,51,85,0,3,0,0
Ward 22,70245,6,0,3,0,23,19,0,318,0,0,0,2,6,0,0,3,0,142,6,76,5,1,1,2,0,3,0,1,12,7,144,231,0,10,0,3
Ward 23,32133,2,0,3,0,13,5,0,197,0,0,0,2,1,0,0,1,0,83,2,11,7,0,1,0,1,0,0,0,12,1,51,115,0,1,0,2
Ward 24,54370,3,0,2,0,7,14,0,259,1,0,0,1,1,0,0,1,0,171,7,37,4,0,4,0,0,1,0,0,8,5,95,182,2,5,0,1
Ward 25,42510,3,0,4,3,4,15,0,286,0,0,0,2,4,0,0,1,0,103,3,12,1,1,0,0,0,1,0,0,13,5,86,136,3,2,0,4
Ward 26,54842,3,1,6,0,17,14,0,272,0,0,0,1,3,0,0,2,0,125,1,23,1,0,1,0,0,0,0,0,17,7,143,225,3,1,1,4
Ward 27,24255,1,0,0,1,2,5,0,255,0,0,1,2,4,0,0,1,0,165,4,60,2,1,1,0,0,1,0,0,5,4,49,122,1,4,2,0
Ward 28,49242,1,0,6,2,7,6,0,207,0,1,0,0,1,0,2,3,0,97,6,25,3,0,0,0,0,0,0,1,11,3,63,142,2,3,0,1
Ward 29,30217,1,0,2,0,9,4,0,202,0,2,0,0,4,0,0,0,0,66,0,17,3,1,1,0,0,0,0,2,11,2,50,78,4,2,0,3
Ward 30,29209,3,0,3,1,8,3,0,263,0,0,0,1,2,0,0,0,0,77,1,19,2,0,0,0,0,1,0,0,8,1,48,139,11,2,0,3
Ward 31,30863,1,0,1,0,5,7,0,106,0,0,0,0,0,0,0,1,0,54,1,15,2,0,0,0,0,0,0,0,7,2,41,56,0,1,1,0
Ward 32,40293,2,0,2,2,4,6,0,164,0,1,0,0,2,0,0,0,0,88,7,25,3,0,1,0,0,1,0,0,8,2,56,96,2,2,0,3
Ward 33,51769,0,0,10,3,10,32,0,259,0,0,0,0,0,0,1,0,0,125,1,17,0,1,0,0,0,0,0,1,10,4,93,156,7,6,0,3
Ward 34,49575,1,0,3,2,13,15,0,282,0,0,0,1,3,0,0,1,0,109,2,24,3,0,1,0,0,2,0,0,13,4,114,223,6,3,0,1
Ward 35,10484,1,0,0,0,0,3,0,53,0,0,0,0,0,0,0,0,0,34,0,6,5,1,0,0,0,0,0,0,5,4,15,25,0,1,0,0
Ward 36,61379,6,1,3,1,11,10,0,319,0,0,0,2,1,0,2,0,0,115,3,21,1,0,0,0,1,0,0,1,20,4,124,242,6,3,0,3
Ward 37,23110,1,0,1,0,3,9,0,97,0,0,0,0,1,0,0,0,0,54,0,17,0,1,0,0,0,0,0,0,4,2,30,66,4,0,0,0
Ward 38,48939,1,0,3,2,17,14,0,351,0,1,0,0,0,0,0,0,0,111,4,37,4,0,2,0,0,2,0,0,15,3,76,168,6,3,0,1
Ward 39,54393,3,0,3,2,9,15,1,342,0,0,0,1,13,0,0,4,1,122,4,17,0,0,0,0,0,0,0,1,24,4,117,284,7,7,0,3
Ward 40,41820,4,0,6,0,24,6,0,373,0,0,0,0,3,0,0,1,0,114,4,27,3,1,3,0,0,2,0,0,17,2,104,233,3,9,0,2
Ward 41,15640,2,0,4,0,4,4,1,89,0,0,0,0,1,0,0,0,0,73,0,10,2,0,0,0,0,0,0,0,11,0,19,58,0,1,0,0
Ward 42,23610,2,0,3,5,5,6,0,176,0,0,0,1,1,0,0,1,0,91,3,21,2,0,0,0,0,0,0,0,3,2,49,98,2,2,0,2
Ward 43,43260,0,0,1,3,5,11,0,196,0,1,0,3,3,0,0,0,0,79,3,21,3,0,0,0,0,0,0,0,6,5,63,116,2,1,0,2
Ward 44,39449,3,0,5,0,16,8,0,132,0,0,0,2,2,0,0,1,0,71,1,16,3,0,0,0,1,0,0,1,8,1,63,125,3,0,1,1
Ward 45,26234,0,0,2,1,5,12,0,180,0,0,0,0,3,0,0,1,0,44,0,8,0,0,0,0,0,0,0,0,8,2,55,96,1,3,0,2
Ward 46,38459,4,0,0,0,6,4,0,275,0,0,0,1,2,0,0,0,0,134,7,26,3,0,1,1,0,1,0,0,5,4,88,177,8,5,0,1
Ward 47,30002,0,0,0,1,7,7,0,149,0,1,0,0,0,0,0,3,0,75,2,10,2,0,0,0,0,0,0,0,5,12,56,92,2,2,0,1
Ward 48,,0,0,5,0,3,5,0,115,0,0,0,0,5,0,0,0,0,37,2,15,1,0,0,0,0,0,0,0,4,2,38,85,0,1,0,0
Non-resident,,4,0,4,0,2,3,0,0,0,0,0,0,3,0,0,3,0,57,2,5,6,0,1,0,0,2,0,1,1,0,31,88,8,0,0,0
