Original sort order,Names,Acres,Month & Day,Year
147,"Budd, Wm.",50,Feb. 18,1745
148,"Brown, Peter",100,March 20,1745
149,"Bettie, John",City lot,May 23,1745
150,"Bonde, Thomas",City lot,Nov. 1,1745
151,"Barnstidner, Jacob",100,March 12,1746
152,"Beeber, John",50,March 18,1746
153,"Beard, John",100,May 13,1746
154,"Behl, Peter",30,Sept. 22,1746
155,"Billman, David",100,Oct. 28,1746
156,"Billman, David",100,Oct. 28,1746
157,"Baker, Jacob",50,Sept. 27,1747
158,"Bush (alias Rush), Jacob",100,March 25,1747
159,"Bumgardner, Geo.",50,June 6,1747
160,"Boone, George",200,June 19,1747
161,"Biddle, John",City lot,Sept. 10,1747
162,"Becker, Lawrence",25,Oct. 7,1747
163,"Busther, Wm.",150,Nov. 25,1747
164,"Branson, Wm.",Bank lot,Feb. 21,1748
165,"Branson, Wm.",Liberty land,Feb. 21,1748
166,"Barster, Conrad",25,Feb. 21,1748
167,"Beichtel, Jacob",250,Aug. 16,1748
168,"Bingham, Wm.",City lot,Dec. 29,1748
169,"Bower, Henry",40,Jan. 9,1749
170,"Breichbeil, Isaac",100,Jan. 14,1748-9
171,"Boulinder, H'y",50,Jan. 18,1749
172,"Bower, Samuel",50,Feb. 25,1748-9
173,"Boon, Jacob",50,Feb. 27,1748-9
174,"Boon, Squire",250,March 9,1749
175,"Boyle, Henry",50,April 5,1749
176,"Bowman, Fidder Hans",50,April 21,1749
177,"Billig, Arnold",50,April 24,1749
178,"Behme, Philip",30,July 13,1749
179,"Beaver, John",200,Sept. 27,1749
180,"Burgard, Peter",25,Nov. 22,1749
181,"Burgard, Peter",25,Nov. 22,1749
182,"Behm, Conrad",50,Jan. 24,1750
183,"Bankson, Jacob",50,Feb. 14,1750
184,"Boone, George",100,March 4,1750
185,"Boone, George",700,March 4,1750
186,"Boone, George",300,March 4,1750
187,"Bird, Burgoin",50,March 4,1750
188,"Bird, Burgoin",25,March 4,1750
189,"Boone, James",250,March 4,1750
190,"Boone, James",250,March 4,1750
191,"Boone, James",250,March 4,1750
192,"Bne, James",100,March 4,1750
193,"Boone, George",300,March 4,1750
194,"Boone, Joseph",200,March 4,1750
195,"Brunner, John",50,March 20,1750
196,"Beck, Anthony",25,March 20,1750
197,"Bush, John",50,March 22,1750
198,"Blyar, Casper",20,March 28,1750
199,"Birch, John",50,May 29,1750
200,"Biery, Joseph",50,June 4,1750
201,"Bather, Conrad",25,June 5,1750
202,"Bather, Christ'r Geo.",25,June 5,1750
203,"Baker, John",100,June 12,1750
204,"Braupst, Martin",50,June 13,1750
205,"Beaver, Lawrence",25,Nov. 30,1750
206,"Brown, Samuel",30,Dec. 7,1750
207,"Birch, John",50,Dec 7,1750
208,"Bocker, Jacob",25,Dec 29,1750
209,"Becking, Casper",50,March 27,1751
210,"Berger, Jacob",50,May 31,1751
211,"Bollenbacher, Abram",100,June 10,1751
212,"Bowman, George",20,June 11,1751
213,"Burgot, Philip",25,Sept 10,1751
214,"Bankson, Andrew",15.75,Sept 10,1751
215,"Barner, John",25,Sept 20,1751
216,"Boyer, Jacob",107112,Sept 20,1751
217,"Behl, Peter",100,Oct 9,1751
218,"Beaver, Dewalt",40,Oct 16,1751
219,"Buss, Peter",50,Nov. 5,1751
220,"Buss, Adam",50,Nov. 5,1751
221,"Baum, Christian John",25,Nov. 13,1751
222,"Becker, John",50,Dec. 23,1751
223,"Birde, Burgoin",300,Jan. 9,1752
224,"Beaver, Mich'l",50,Feb. 5,1752
225,"Bach, Henry",25,March 12,1752
226,"Bowman, Teeter",50,April 14,1752
227,"Bowman, Teeter",100,April 14,1752
228,"Bescker, Jacob",null,April 15,1752
229,"Bradford, Cornelia",null,Feb. 14,1753
230,"Bradford, Cornelia",69,Feb. 24,1753
231,"Bowman, Fetter Jn'o",37102,April 5,1753
232,"Biddle, John",City lot,July 31,1754
233,"Buse, Christian",50,Oct. 9,1754
234,"Bernard, John H'y",50,May 6,1755
235,"Backel, Peter",100,Nov. 28,1759
236,"Boyer, Philip",100,Nov. 6,1760
237,"Barton, Thomas",City lot,March 6,1761
238,"Bonde, Thomas",City lot,March 17,1761
239,"Burr, John",City lot,April 27,1761
240,"Bankson, Benj.",50,April 5,1762
241,"Bell, Samuel",null,Sept. 30,1762
242,"Ball, William",City lot,Nov. 8,1763
243,"Bussart, Adam",null,Dec. 20,1763
244,"Bush, Mathias",City lot,June 21,1765
245,"Bartsam, John",City lot,Dec. 5,1767
246,"Baker, Isaac",City lot,Nov. 8,1770
247,"Bisbing, George",182.62,Nov. 28,1770
248,"Britton, John",City lots,Dec. 31,1771
249,"Barkey, John",12,June 17,1772
250,"Byrnes, James",City lot,March 30,1773
251,"Bitting, Lewis & Anthony",40,Dec. 22,1773
252,"Bahman, Henry",50150,Jan. 23,1775
253,"Billington, Thomas",5,Jan. 26,1779
254,"Billington, Thomas",30,March 27,1779
255,"Brooke, Robert",50,March 2,1812
256,"Coffman, David",100,Feb. 5,1733
257,"Coates, Moses",200,Feb. 23,1733
258,"Clapp, George",150,Feb. 27,1733
259,"Clapp, Ludowick",200,Feb. 27,1733
260,"Cary, Martin John",100,Feb. 28,1733
261,"Cope, Yost",150,Jan. 8,1734
262,"Clouser, George",100,Jan. 8,1734
263,"Cremlis, Solomon",100,Jan. 17,1734
264,"Coke, Jacob",118,July 20,1734
265,"Collins, Thomas",200,Feb. 20,1734
266,"Clements, Garret",null,March 5,1733-4
267,"Creager, Casper",150,March 8,1734
268,"Cook, Conrad",100,April 10,1734
269,"Collins, Thomas",200,April 13,1734
270,"Cowkell, George",150,April 15,1734
271,"Coles, Solomon",200,April 18,1734
272,"Carpenter, Samuel",null,July 29,1734
273,"Clemmer, Hans",50,Aug. 12,1734
274,Clements,30,Aug. 28,1734
275,"Cooker, Batei",150,Sept. 2,1734
276,"Cooper, Thomas",100,Sept. 20,1734
277,"Crubb, Henry",50,Nov. 8,1734
278,"Cadwalader, John",250,Oct. 1,1735
279,"Coates, Thomas",null,Dec. 30,1735
280,"Cutts, Nicholas",150,Feb. 2,1737
281,"Cotner, Peter",100,March 16,1737
282,"Creager, Casper",25,April 15,1737
283,"Clawse, Frederick",150,May 18,1737
284,"Crane, George",100,Aug. 15,1737
285,"Crane, George",250,Sept. 2,1737
286,"Crane, Richard",250,Sept. 2,1737
287,"Cough, Geo. Hans",100,Oct. 28,1737
288,"Clingeyman, George",150,Nov. 23,1737
289,"Crowell, Michael",150,Nov. 28,1737
290,"Crissan, Isaac",200,Nov. 30,1737
291,"Corbo, John",100,April 25,1738
292,"Creman, Sebald",200,May 17,1738
293,"Crane, Robert",200,May 19,1738
294,"Campbell, Thomas, & others",City lot,July 1,1738
295,"Coots, Nicholas",100,July 1,1738
296,"Clingman, George",100,July 24,1738
297,"Cummer, Christian",150,Oct. 12,1738
298,"Coontz, Michael",200,March 4,1739
299,"Cornelius, Peter",50,July 31,1739
300,"Circkell, Ludowick",30,March 29,1740
301,"Coontz, Hartman",125,May 1,1740
302,"Coots, Nicholas",50,Jan. 6,1741
303,"Chartell, Jacob",City lot,March 6,1741
304,"Chalkley, Thomas",null,March 20,1741
305,"Coal, George,",25,Jan. 6,1742
306,"Coots, Nicholas",25,May 22,1742
307,"Coleman, Wm.",360,June 10,1742
308,"Carpenter, Sabastian",100,July 20,1742
309,"Cline, Sabastian",238,Feb. 17,1743
310,"Coats, Nicholas",99,March 21,1743
311,"Chreist, Henry",50,Aug. 5,1743
312,"Crowle, Michael",50,Dec. 13,1743
313,"Cole, Daniel, 1",100,March 2,1744
314,"Cosneit, George",100,June 28,1744
315,"Coots, Nicholas",100,Dec. 4,1744
316,"Chappell, John",City lots,Dec. 24,1744
317,"Cooke, Henry",100,March 6,1745
318,"Clyne, Bastian",25,May 13,1745
319,"Cole, Daniel",150,June 6,1745
320,"Casdrop, Jacob",null,Nov. 1,1745
321,"Callender, Wm.",City lot,Nov. 5,1745
322,"Culp, John",100,April 1,1746
323,"Crissmore, Casper",50,June 3,1746
324,"Caringer, Thomas",150,Aug. 12,1746
325,"Coontz, Jacob",50,Oct. 26,1746
326,"Creitzer, John",30,April 9,1747
327,"Clingeman, George",100,June 6,1747
328,"Crone, Nicholas",null,Aug. 1,1747
329,"Chapelle, John",City lot,Aug. 1,1747
330,"Cooper, William",City lot,Sept. 1,1747
331,"Crafe, Michael",50,Sept. 2,1747
332,"Cohrer, Jacob",100,April 6,1748
333,"Crouse, Henry",50,Feb. 21,1749
334,"Cooler, Jacob",50,April 11,1749
335,"Carser, John",30,Aug. 16,1749
336,"Cahoe, Daniel",260,Feb. 14,1750
337,"Clark, Thomas",100,Aug. 7,1750
338,"Creamer, Frederick",25,Aug. 23,1750
339,"Crymer, Godfrey",25,Sept. 19,1750
340,"Cremlis, Solomon",100,Dec. 19,1750
341,"Chreist, Henry",20,Dec. 21,1750
342,"Chreist, Henry",20,Dec. 21,1750
343,"Custer, George",25,June 21,1751
344,"Carrol, Dewalt",25,Dec. 12,1751
345,"Culp, John",50,Oct. 1,1751
346,"Cressmore, Felty",25,March 17,1752
347,"Coler, John",100,Nov. 22,1758
348,"Connolly, Wm.",200,Jan. 28,1760
349,"Carpenter, Hannah, & Co.",null,Oct. 6,1760
350,"Carpenter, Abraham",City lot,March 17,1761
351,"Coates, Thomas",City lot,March 27,1761
352,"Caver, John",200,May 80,1761
353,"Cooper, George",null,March 28,1763
354,"Craig, Wm.",100,Dec. 14,1763
355,"Cornelius, Joseph",null,April 22,1767
356,"Cox, Isaac",null,Nov. 18,1771
357,Commissioners,City lot,Oct. 29,1771
358,"Cecil, Charles",250,April 22,1794
359,"Cecil, Charles, & others",City lot,Aug. 20,1794
360,"Chew, Benj., Jr.",1,Feb. 11,1881
361,"Chew, Benj., Jr.",1,Feb. 11,1881
362,"Chew, Benj., Jr.",2,Feb. 11,1881
363,"Chew, Benj., Jr.",1.25,March 10,1881
364,"Corson, Amos",50,May 28,1887
365,"Chambers, Harman A.",5,Dec. 19,1870
366,"Duck, Christopher",100,Jan. 8,1734
367,"Dunn, James",140,June 29,1734
368,"Dibler, Ludwick",200,Aug. 12,1734
369,"Dunkelberg, Clement",50,Jan. 80,1735
370,"Dater, John",150,Feb. 17,1735
371,"Dubar, Jacob",null,March 17,1734-5
372,"Denet, George",null,Dec. 1,1736
373,"DeHaat, Gilbert",100,Feb. 11,1737
374,"Doll, Christian",50,Feb. 22,1737
375,"Deiter, William",150,Oct. 27,1787
376,"Dunckelberger, Peter",100,March 27,1738
377,"Denniston, John",250,Sept. 27,1738
378,"Dewees, Henry",100,Nov. 10,1738
379,"Dull, Christian",200,Dec. 19,1739
380,"Dunlrleberg, Clement",100,March 14,1743
381,"Deal, John",100,May 17,1743
382,"Dewalt, Michael",50,Aug. 26,1743
383,"Delplank, James",100,Dec. 6,1743
384,"Dunckelberg, Peter",100,March 31,1744
385,"Deshler, David",A lot,Aug. 30,1744
386,"Dougle, John",100,Oct. 8,1744
387,"Domkill, John",50,Feb. 11,1746
388,"Dewalt, Michael",50,Aug. 8,1747
389,"Dunkehl, John",73.23,Aug. 30,1748
390,"Dunckelberger, Peter",50,Nov. 18,1749
391,"Denton, John",A lot,Feb. 14,1750
392,"Dewees, William",100,March 4,1750
393,"Dewees, William",100,March 4,1750
394,"Dewees, William",250,March 4,1750
395,"Dull, Christopher",50,April 25,1750
396,"Derat, William",100,May 22,1751
397,"Deturck, John",25,Oct. 22,1751
398,"Dewalt, Michael",50,Feb. 5,1752
399,"Diel, Wyan",152134,Feb. 29,1752
400,"Doyle, John",City lot,Jan. 1,1759
401,"Darringer, Thomas",162,Nov. 6,1760
402,"Delaplank, Fdr'k",50,April 23,1761
403,"Delaplank, F'dr'k",50,April 24,1761
404,"Dirck, Christian",City lot,Oct. 9,1766
405,"Dillwyn, George",Liberty land,Nov. 24,1768
406,"Dillwyn, George, & others",58,Oct. 18,1769
407,"Davis, Benj., & Co.",City lot,Sept. 22,1786
408,"Danson, Shadrack, & others, guardians, &c.",.5,March 10,1831
409,"Englehart, Ulrich",100,Feb. 5,1733
410,"Edwards, John",100,Feb. 12,1733
411,"Emman, Jacob",100,Feb. 27,1733
412,"Eckman, Jacob",100,Jan. 17,1734
413,"Edwards, Philip",200,Feb. 20,1734
414,"Esh, Nicholas",100,July 18,1734
415,"Ellis, Thomas",100,July 31,1734
416,"Ebert, Michael",100,Aug. 16,1734
417,"Ent, Henrick",200,Oct. 30,1734
418,"Evans, Wm., Rich'd, David",Liberty land,July 18,1735
419,"Eastburn, Benj., Esq.",City lot,Feb. 10,1735-6
420,"Eastburn, Benj., Esq.",City lot,Feb. 23,1735-6
421,"Ermie, Frederick",100,April 13,1737
422,"Englert, Adam",150,Oct. 13,1737
423,"Emlen, Joshua",null,Dec. 31,1737
424,"Ely, Christian",150,April 15,1738
425,"Englehart, Nicholas",50,Nov. 9,1738
426,"Ellis, Robert",null,July 18,1740
427,"Englehart, Adam, & others",100,May 16,1741
428,"Ermaany, Nicholas",100,Feb. 26,1742
429,"Eastbauch, Henry",100,March 4,1742
430,"Eastburn, John, & others",City lot,Dec. 10,1742
431,"Eysenberg, Enoch",100,June 3,1743
432,"Eys, Nicholas",200,July 4,1743
433,"Echbaugh, Henry",50,Feb. 14,1744
434,"Ebher, George",100,March 23,1744
435,"Emerick, Nicholas",100,Sept. 2,1744
436,"Emlin, George, Jr.",null,Nov. 1,1745
437,"Ely, David",120,April 1,1746
438,"Eshenbaugh, Andreas",100,April 30,1746
439,"Eck, Jacob",100,June 3,1746
440,"Eyes, Nicholas",50,Oct. 25,1746
441,"Eck, Jacob",50,Feb. 8,1747
442,"Eysenberg, Simon",50,Oct. 6,1747
443,"Evellgh, Philip",50,Jan. 6,1749
444,"Eagner, Mathias",25,Feb. 27,1749
445,"Everling, John",100,July 19,1749
446,"Esterly, George",25,Oct. 4,1749
447,"Esterly, George",25,Nov. 30,1749
448,"Ellis, Enos",100,March 4,1750
449,"Ellis, Thomas, Jr.",150,March 4,1750
450,"Eagner, Mathias",25,March 20,1750
451,"Eagner, Mathias",25,May 8,1750
452,"Ehrhart, Peter",50,Aug. 6,1750
453,"Esterly, George",22,Sept. 10,1751
454,"Eikely, Adam",25,Oct. 19,1751
455,"Eck, John",50,Nov. 20,1751
456,"Ellis, Thomas, Jr.",25,Dec. 11,1751
457,"Ellis, Enos",25,Dec. 11,1751
458,"Evans, David",lot,Feb. 3,1752
459,"Erpf, Philip",lot,Feb. 3,1752
460,"Evall, Henry",100,Dec. 19,1760
461,"Essig, George",124.75,Jan. 7,1761
462,"Epprecht, Philip",500,March 12,1761
463,"Elliott, John",City lot,Dec. 14,1761
464,"Evans, Samuel",City lot,Dec. 14,1762
465,"Emlen, George",City lot,Dec. 29,1762
466,"Emlen, Geo., & Co.",City lot,Dec. 21,1767
467,"Emlen, Geo.",City lot,Feb. 15,1768
468,"Elfreth, Jeremiah",City lot,Oct. 12,1769
469,"Evans, Calwalader",City lot,Nov. 2,1772
470,"Eytel, Bernhart",150,July 31,1773
471,"Evans, Calwalader, in right of Jn'o Stringfellow",500,May 3,1774
472,"Egert, George",100,Aug. 30,1781
473,"Fisher, John",100,Feb. 5,1733
474,"Fisher, Jacob",300,Feb. 5,1733
475,"Fullweighla, Casper",200,Feb. 26,1733
476,"Fisher, Ulrich Geo.",100,March 7,1733
477,"Funk, Jacob",141,March 9,1733
478,"Fisher, Michael",150,March 14,1733
479,"Flexney, Daniel",500,May 1,1733
480,"Finney, Samuel",150,June 1,1733
481,"Fetherouf, Peter",150,Feb. 25,1734
482,"Forwald, Peter",100,Feb. 26,1734
483,"Fitzwater, Tho's, & others",500,May 27,1734
484,"Fisher, John",null,July 29,1734
485,"Frock, Jacob",100,July 29,1734
486,"Fork, George",150,Aug. 1,1734
487,"Fisher, Andreas",200,Aug. 13,1734
488,"Fritz, Hans",50,Sept. 3,1734
489,"Faux, Jacob",100,Sept. 3,1734
490,"Fautz, Jacob",200,Oct. 29,1734
491,"Fairman, Benj., & Co.",400,Nov. 20,1734
492,"Fry, Benjamin",100,Nov. 29,1734
493,"Fabion, Michael",200,Dec. 27,1734
494,"Farmer, Edward",300,March 1,1734-5
495,"Fetter, Jacob",50,April 16,1735
496,"Furley, Benjohan",5000,Dec. 16,1735
497,"Fitzwater, Geo., & Thos.",300,Sept. 3,1736
498,"Fetter, Michael",100,Oct. 26,1736
499,"Faust, Peter",100,Nov. 9,1736
500,"Faust, Peter",100,Oct. 26,1736
501,"Fisher, Herman",75,Jan. 17,1737
502,"Federkoff, Peter",50,Feb. 1,1737
503,"Federkoff, Peter",50,Feb. 1,1737
504,"Forkes, Jacob",150,March 6,1737
505,"Fisher, Ulrich Geo.",200,March 26,1737
506,"Fry, Conrad",150,April 26,1737
507,"Farmer, Edward",200,May 20,1737
508,"Foulk, Cadwalader, & others",Lot,July 21,1737
509,"Forwald, Peter",150,Oct. 12,1737
510,"Fry, Conrad",125,Dec. 1,1737
511,"Free, Jacob",50,Jan. 9,1738
512,"Foust, Philip",200,March 25,1738
513,"Fisher, Ulrich Geo.",150,March 25,1738
514,"Fulke, Andrew",150,June 27,1738
515,"Fry, Conrad",250,Sept. 15,1738
516,"Fusselman, Erhard",150,Oct. 4,1738
517,"Farmer, Edw.",100,Nov. 10,1738
518,"Foster, Allen",150,May 19,1740
519,"Free, Jacob",150,April 21,1741
520,"Fisher, Andreas",75,June 9,1741
521,"Fitzwater, Allen, & McCall",Lots,July 20,1741
522,"Freeze, Michael",100,Jan. 7,1742
523,"Falwyner, Casper",100,Feb. 23,1742
524,"Fisher, Henry",100,June 9,1742
525,"Fisher, William",100,June 9,1742
526,"Fellinger, Ludowick",100,Feb. 16,1743
527,"Foust, Philip",250,April 15,1743
528,"Freeze, Michael",50,April 13,1743
529,"Freis, Michael",50,Nov. 15,1744
530,"Feyt, Christian",50,Jan. 11,1745
531,"Furr, Leonard",100,Jan. 23,1745
532,"Fisher, Conrad",40,Feb. 18,1745
533,"Fisher, Conrad",40,Feb. 18,1745
534,"Fenstermacher, Philip",50,March 7,1745
535,"Freiy, John",50,May 15,1745
536,"Frederick, John",100,Oct. 22,1745
537,"Furley, John",City lot,Nov. 11,1746
538,"Frederick, John",60,April 1,1747
539,"Fry, Jacob",100,May 13,1747
540,"Farmer, Wm.",50,April 2,1748
541,"Fudge, Jacob",100,Aug. 2,1748
542,"Frawfelter, Felix",200,Nov. 30,1748
543,"Flemmer, John",100,Dec. 3,1748
544,"Fellinger, Ludowick",25,Feb. 3,1749
545,"Freize, Simon",100,March 21,1748-9
546,"Frawfelder, John",50,March 23,1749
547,"Frawfelder, Felix",50,March 23,1749
548,"Felman, Jacob",100,April 5,1749
549,"Fry, Christian",50,April 19,1749
550,"Frederick, John",100,June 8,1749
551,"Feather, Michael",25,June 10,1749
552,"Fenstermacher, Philip",100,Sept. 27,1749
553,"Fisher, John",150,Dec. 6,1749
554,"Fans, John",100,Dec. 7,1749
555,"Fudge, Jacob",50,March 4,1750
556,"Faust, Jacob",100,March 23,1750
557,"Feeterolf, Peter",75,April 6,1750
558,"Fegely, George",30,Aug. 11,1750
559,"Frack, Jacob",100,Sept. 3,1750
560,"Freeze, Peter",50,Nov. 5,1750
561,"Fenstermacher, Philip",25,Nov. 7,1750
562,"Fitsymonds, Philip",25,Nov. 21,1750
563,"Fry, Conrad",25,Dec. 3,1750
564,"Fudge, Jacob",50,Aug. 2,1751
565,"Foulke, Wm.",50,Sept. 14,1751
566,"Fox, Christopher",100,Sept. 17,1751
567,"Freet, Samuel",25,Oct. 23,1751
568,"Freaker, Charles",Lot 130,Feb. 3,1752
569,"Feeder, Henry",Lot 282,Feb. 3,1752
570,"Flower, Sam'l, & others",100,Nov. 27,1752
571,"Farmer, Joseph, & others",95,March 16,1753
572,"Francis, Thomas",City lot,Jan. 11,1763
573,"Felton, Thomas",City lot,March 25,1763
574,"Fox, Joseph",City lot,Nov. 24,1768
575,"Fox, Joseph",City lot,Feb. 24,1774
576,"Forepaugh, Geo.",City lot,April 14,1774
577,"Forepaugh, Geo.",City lot,April 14,1774
578,"Francis, Tench, & others",5000,April 12,1788
579,"Freytog, Michael",70,June 29,1830
580,"Freytog, Michael",50,June 29,1830
581,"Freytag, Mich'l",12,June 29,1830
582,"Freytog, Mich'l",30,Aug. 16,1830
583,"Freytog, Mich'l",15,Aug. 16,1830
584,"Freytag, Mich'l",2.5,Oct. 1,1830
585,"Fox, Joseph, & Preston",10.91,Dec. 6,1821
586,"Gerrald, David",100,Feb. 5,1733
587,"Greff, Pastian",250,March 2,1733
588,"Groff, Joseph",200,March 8,1733
589,"Gray, George",Lots,Feb. [],1734
590,"Geeman, Christian",150,Feb. 25,1734
591,"Gehr, Conrade",35,March 5,1734
592,"Gauker, Henry",100,March 10,1734
593,"Griffith, Samuel",200,March 13,1734
594,"George, David",Liberty land,June 4,1734
595,"Gray, John",150,June 7,1734
596,"Groff, Joseph",50,June 13,1734
597,"Graay, Feltee",150,Aug. 3,1734
598,"Gross, William",200,Aug. 31,1734
599,"Gregory, Richard",300,Aug. 31,1734
