Publication Year,Author,Author Reconciled,Title,Series,Publisher,Place,Library Collection,Call Number,Notes,Editors,Translator,Contributor,Edition
1888,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",What to do?,,W. Scott,London,University of Illinois at Chicago,,,,,,A new and authorised translation from the unabridged Russian manuscript.
1901,"Jefferies, Richard, 1848-1887.","Jefferies, Richard, 1848-1887",The story of my heart : my autobiography,The Silver library,"Longmans, Green, and Co.",London,University of Illinois at Chicago,,,,,,
1934,"Wald, Lillian D., 1867-1940.","Wald, Lillian D., 1867-1940",Windows on Henry Street,,"Little, Brown",Boston,University of Illinois at Chicago,,,,,,
1927,"Salvemini, Gaetano, 1873-1957.","Salvemini, Gaetano, 1873-1957",The fascist dictatorship in Italy,,H. Holt,New York,University of Illinois at Chicago,,,,,,
1877,"Scott, Walter, 1771-1832., Sir","Scott, Walter, 1771-1832.",The heart of Midlothian,"The handy volume "Waverley"""he handy ","Bradbury, Agnew",London,University of Illinois at Chicago,,,,,,
1930,"Hall, Robert Cunningham.","Hall, Robert Cunningham.",Facing the issue squarely : a plea for supremacy of law over violence,,G. P. Putnam's Sons,New York,University of Illinois at Chicago,,,,,,
1933,"Lovejoy, Esther Pohl, 1870-1967.","Lovejoy, Esther Pohl, 1869-1967",Certain Samaritans,,The Macmillan Company,New York,University of Illinois at Chicago,,,,,,"New ed., rev and reset."
1915,"Bynner, Witter, 1881-1968.","Bynner, Witter, 1881-1968",The new world,,M. Kennerley,New York,University of Illinois at Chicago,,""The greater part of this poem was delivered before the Harvard chapter of the Phi Beta Kappa Society in June, 1911."--Verso of 2d prelim. leaf.""The greater part of this poem was delivered before the Harvard chapter of the Phi Beta Kappa Society in June, 1911."--Verso of 2d prelim. leaf.""he greater part of this poe",,,,
1933,"Epstein, Abraham, 1892-","Epstein, Abraham, 1892-1942",Insecurity : a challenge to America ; a study of social insurance in the United States and abroad,,H. Smith and R. Haas,New York,University of Illinois at Chicago,,,,,,
1903,,,"Exercises in commemoration of the birthday of Washington, February 23, 1903.",,"Metcalf Stationery Co., Printers",Chicago,University of Illinois at Chicago,,,,,,
1919,"Smith, J. Russell, 1874-1966.","Smith, Joseph Russell, 1874-1966",The world's food resources,,H. Holt and Co.,New York,University of Illinois at Chicago,,,,,,
1930,,,"Political handbook of the world : parliaments, parties and press as of January 1, 1930",,Yale University : For Council on Foreign Relations,New Haven,University of Illinois at Chicago,,,"Mallory, Walter H.",,,
1909,"Washington, Booker T., 1856-1915.","Washington, Booker T., 1856-1915.",The story of the Negro : the rise of the race from slavery,,"Doubleday, Page & Co.",New York,University of Illinois at Chicago,,,,,,
1906,"Lloyd, Henry Demarest, 1847-1903.","Lloyd, Henry Demarest, 1847-1903","Man, the social creator",,"Doubleday, Page & Co.",New York,University of Illinois at Chicago,,,,,,
1924,,,"These eventful years : the twentieth century in the making, as told by many of its makers ; being the dramatic story of all that has happened throughout the world during the most momentous period in all history ; with 160 full-page illustrations and numerous maps.",,The Encyclopedia Britannica Company,London,University of Illinois at Chicago,,""Preface signed: Franklin H. Hooper."""Preface signed: Franklin H. Hooper."""","Hooper, Franklin Henry, 1862-1940",,,
1912,"Devine, Edward T., 1867-1948.","Devine, Edward T. (Edward Thomas), 1867-1948",The family and social work,,Association Press,New York,University of Illinois at Chicago,,,,,,
1930,"Lawrence, William, 1850-1941.","Lawrence, William, 1850-1941",Life of Phillips Brooks,Creative lives,Harper & Brothers,New York,University of Illinois at Chicago,,,,,,
1928,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967","The public mind : its disorders, its exploitation",,Dutton & Co.,New York,University of Illinois at Chicago,,,,,,
1925,"Unamuno, Miguel de., 1864-1936.","Unamuno, Miguel de 1864-1936",Essays and soliloquies,,A. A. Knopf,New York,University of Illinois at Chicago,,,"Flitch, J. E. Crawford.",,,
1898,"James, William, 1842-1910.","James, William, 1842-1910.",Human immortality : two supposed objections to the doctrine,"The Ingersoll lecture, 1898",Houghton Mifflin,Boston,University of Illinois at Chicago,,,,,,2d ed.
1926,"Hobson, J. A., 1858-1940.","Hobson, J.A. (John Atkinson), 1858-1940",Free-thought in the social sciences,,Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1926,"Dewey, John, 1859-1952.","Dewey, John, 1859-1952.",Experience and nature,Lectures upon the Paul Carus Foundation. 1st ser.,Open court Publishing Company,Chicago ; New York,University of Illinois at Chicago,,,,,,
1920,"Todd, Arthur James.","Todd, Arthur James, 1878-1948",The scientific spirit and social work,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1918,"Porter, Kirk H., 1891-1972.","Porter, Kirk H.",A history of suffrage in the United States,,"Thesis (Ph.D.)– University of Chicago, 1918.",Chicago,University of Illinois at Chicago,,,,,,
1915,"Henderson, Charles Richmond, 1848-1915.","Henderson, Charles Richmond, 1848-1915",Citizens in industry,The social betterment series,D. Appleton and Co.,New York,University of Illinois at Chicago,,,,,,
1932,"Webb, Mrs., Anne Kidwell","Webb, Mrs., Anne Kidwell","Prohibition and man : a drama of saloon days, and a romance of prohibition days combined. A gripping story dealing with the underworld and the forces of prohibition, who are combatting this lawlessness",,"Wallace-Homestead Co., Printers",Des Moines,University of Illinois at Chicago,,""Author's presentation copy of Jane Addams, with her signed autograph inscription."""Author's presentation copy of Jane Addams, with her signed autograph inscription."""",,,,
1922,"Eddy, Sherwood, 1871-1963.","Eddy, Sherwood, 1871-1963",Facing the crisis : a study in present day social and religious problems,"The Fondren lectures for 1922, delivered before the School of theology of Southern Methodist university.",G. H. Doran Co.,New York,University of Illinois at Chicago,,,,,,
1927,,,Building international goodwill,,Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1927,"Langdon-Davies, John, 1897-1971.","Langdon-Davies, John, 1897-1971",A short history of women,,The Viking Press,New York,University of Illinois at Chicago,,,,,,
1928,"Browning, Mrs. Fannie Barrett","Browning, Mrs. Fannie Barrett",Some memories of Robert Browning,,Marshall Jones Co.,Boston,University of Illinois at Chicago,,,,,,
1899,"Veblen, Thorstein, 1857-1929.","Veblen, Thorstein, 1857-1929.",The theory of the leisure class; an economic study in the evolution of institutions.,,"The Macmillan Company; Macmillan & Co., ltd.","New York, London",University of Illinois at Chicago,,,,,,
1909,"MacKaye, Percy, 1875-1956.","Mackaye, Percy 1875-1956",The playhouse and the play : and other addresses concerning the theatre and democracy in America,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1928,"Beneš, Edvard, 1884-1948.","Beneš, Edvard, 1884-1948",My war memoirs,,Houghton Mifflin Co.,Boston,University of Illinois at Chicago,,,"Selver, Paul, 1888-1970",,,
1909,"Walsh, James J., 1865-1942.","Walsh, James Joseph, 1865-1942",The thirteenth greatest of centuries,,Catholic summer school press,New York,University of Illinois at Chicago,,""Author's presentation copy to Jane Addams, with her signed autograph inscription."""Author's presentation copy to Jane Addams, with her signed autograph inscription."""",,,,2d ed. with emendations and an appendix.
1924,"Neilson, Francis, 1867-1961","Neilson, Francis, 1867-1961",The impossible philanthropist : a comedy in four acts,,"B. W. Huebsch, Inc.",New York,University of Illinois at Chicago,,,,,,
1925,"Courtney, Leonard Henry Courtney, 1832-1918., Baron","Courtney, Leonard Henry Courtney, Baron, 1832-1918",Cornish granite : extracts from the writings and speeches of Lord Courtney of Penwith,,L. Parsons,London,University of Illinois at Chicago,,,"Stewart, E. C. M.; Satterthwaite, E.",,,
1931,"Filene, E. A., 1860-1937.","Filene, E. A. (Edward Albert), 1860-1937",Successful living in this machine age,,Simon and Schuster,New York,University of Illinois at Chicago,,,"Wood, Charles Wesley, 1880-",,,
1907,,,Los pastores : a Mexican play of the nativity,Memoirs of the American Folk-lore Society,"Pub. for the American Folk-lore Society by Houghton, Mifflin",Boston,University of Illinois at Chicago,,,"Cole, M. R.",,,
1905,"Hobhouse, L. T., 1864-1929","Hobhouse, Leonard Trelawney, 1864-1929",Democracy and reaction,,G. P. Putnam Sons,New York,University of Illinois at Chicago,,,,,,
1904,"Dickinson, G. Lowes, 1862-1932.","Dickinson, Goldsworthy Lowes, 1862-1932",The Greek view of life,,Methuen & Co.,London,University of Illinois at Chicago,,,,,,3rd ed.
1927,"Bruère, Martha S. Bensley.","Bruère, Martha Bensley, 1879-1953","Does prohibition work? : a study of the operation of the Eighteenth amendment made by the National federation of settlements, assisted by social workers in different parts of the United States",,Harper & Brothers,New York,University of Illinois at Chicago,,,,,,
1932,"Mead, George Herbert, 1863-1931.","Mead, George Herbert, 1863-1931.",The philosophy of the present,Lectures upon the Paul Carus foundation. 3d ser.,Open court Pub. Co.,Chicago,University of Illinois at Chicago,,,"Murphy, Arthur Edward, 1901-1962",,,
1899,"Kropotkin, Petr Alekseevich, kni︠a︡zʹ, 1842-1921.","Kropotkin, Pëtr Alekseevič 1842-1921",Memoirs of a revolutionist,,"Houghton, Mifflin and Co.",Boston,University of Illinois at Chicago,,""Introduction signed: George Brandes."""Introduction signed: George Brandes."""",,,,
1927,,,The Unconscious : a symposium,,A. A. Knopf,New York,University of Illinois at Chicago,,""Papers presented at the City Club of Chicago, April 29th to May 1st, 1927, under the auspices of the Illinois Society for Mental Hygiene."--p. 2.""Papers presented at the City Club of Chicago, April 29th to May 1st, 1927, under the auspices of the Illinois Society for Mental Hygiene."--p. 2.""apers p","Child, C. M.; Dummer, Ethel Sturges.",,,
1913,"Martin, Edward Sandford, 1856-1939.","Martin, Edward Sandford, 1856-1939",The unrest of women,,D. Appleton and Co.,New York,University of Illinois at Chicago,,,,,,
1921,"Robinson, James Harvey, 1863-1936.","Robinson, James Harvey, 1863-1936",The mind in the making : the relation of intelligence to social reform,,Harper & Brothers,New York,University of Illinois at Chicago,,,,,,
1933,"Breckinridge, Sophonisba Preston, 1866-1948.","Breckinridge, Sophonisba Preston, 1866-1948","Women in the twentieth century : a study of their political, social and economic activities",Recent social trends monographs.,McGraw-Hill,New York,University of Illinois at Chicago,,,,,,1st ed.
1896,"Huxley, Thomas Henry, 1825-1895.","Huxley, Thomas Henry, 1825-1895.",Evolution and ethics and other essays,,D. Appleton and Co.,New York,University of Illinois at Chicago,,,,,,
1910,"Toynbee, Joseph, 1815-1866.","Toynbee, Joseph, 1815-1866",Reminiscences and letters of Joseph and Arnold Toynbee,,H.J. Glaisher,London,University of Illinois at Chicago,,,"Toynbee, Arnold, 1852-1883; Toynbee, Gertrude",,,
1915,,,Journal of the National Institute of Social Sciences.,,,New York,University of Illinois at Chicago,,,"French, Lillie Hamilton, 1854-1939",,,
1919,"Bourne, Randolph Silliman, 1886-1918.","Bourne, Randolph Silliman, 1886-1918",Untimely papers,,B.W. Huebsch,New York,University of Illinois at Chicago,,,"Oppenheim, James, 1882-1932",,,
1928,"Weinstein, Gregory, 1864-","Weinstein, Gregory, 1864--",Reminiscences of an interesting decade : the ardent eighties,,The International Press,New York,University of Illinois at Chicago,,,,,,
1911,"Bloomfield, Meyer, 1878-1938.","Bloomfield, Meyer, 1878-1938",The vocational guidance of youth,"Riverside educational monographs, ed. by H. Suzzallo",Houghton Mifflin Co.,Boston,University of Illinois at Chicago,,,,,,
1916,"Zueblin, Charles, 1866-1924.","Zueblin, Charles",American municipal progress,Social science text-books,The Macmillan Company,New York,University of Illinois at Chicago,,,"Sweeny, Helen Bernice",,,New and rev. ed.
1915,"Mead, Lucia True Ames, 1856-1936.","Mead, Lucia True Ames, 1856-1936",The overthrow of the war system,,The Forum Publications,Boston,University of Illinois at Chicago,,,"Addams, Jane, 1860-1935.",,,
1934,"Dewey, John, 1859-1952.","Dewey, John, 1859-1952.",Art as experience,,"Minton, Balch & Co.",New York,University of Illinois at Chicago,,,,,,
1800,,,"Auerbach's Keller, Leipzig.",,s.n,S.l.,University of Illinois at Chicago,,,,,,
1935,"Wallas, Graham, 1858-1932.","Wallas, Graham, 1858-1932",Social judgment,,"Harcourt, Brace and Co.",New York,University of Illinois at Chicago,,""Editor's note" signed: May Wallas.""Editor's note" signed: May Wallas.""ditor's note" signed""itor's ","Wallas, May",,,
1898,"Gilder, Richard Watson, 1844-1909.","Gilder, Richard Watson, 1844-1909",In Palestine and other poems,,The Century co.,New York,University of Illinois at Chicago,,,,,,
1923,"High, Stanley, 1895-","High, Stanley, 1895-",The revolt of youth,,The Abingdon Press,New York,University of Illinois at Chicago,,,,,,
1909,"Petrie, W. M. Flinders Sir, 1853-1942.","Petrie, William Matthew Flinders, 1853-1942",Personal religion in Egypt before Christianity,Harper's library of living thought,Harper,London ; New York,University of Illinois at Chicago,,,,,,
1909,"Augustine, Bishop of Hippo., Saint","Augustine, Bishop of Hippo., Saint",The confessions of S. Augustine.,,Seeley & Co. ; E.P. Dutton & Co.,London : New York,University of Illinois at Chicago,,,"Pusey, E.B. (Edward Bouverie), 1800-1882",,,
1898,"Royce, Josiah, 1855-1916.","Royce, Josiah, 1855-1916.",Studies of good and evil : a series of essays upon problems of philosophy and life,,D. Appleton and Co.,New York,University of Illinois at Chicago,,,,,,
1926,"Wallas, Graham, 1858-1932.","Wallas, Graham, 1858-1932",The art of thought,,J. Cape,London,University of Illinois at Chicago,,,,,,
1926,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967","The public mind : its disorders, its exploitation",,Noel Douglas,London,University of Illinois at Chicago,,,,,,
1928,"Smith, Dunlap, Elliott, 1891-","Smith, Elliott Dunlap, 1891-",Psychology for executives; a study of human nature in industry,,Harper & brothers,"New York, London",University of Illinois at Chicago,,,,,,
1901,"Gilder, Richard Watson, 1844-1909.","Gilder, Richard Watson, 1844-1909",Poems and inscriptions,,The Century Co.,New York,University of Illinois at Chicago,,""Inscriptions for the Pan-American exposition, Buffalo, 1901": p. [87]-101.""Inscriptions for the Pan-American exposition, Buffalo, 1901": p. [87]-101.""nscriptions fo",,,,
1935,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967",Peace and the plain man,,Harper & Brothers,New York,University of Illinois at Chicago,,,,,,1st ed.
1887,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",My confession : and the spirit of Christ's teaching,,T. Y. Crowell,New York,University of Illinois at Chicago,,,,,,
1907,"James, William, 1842-1910.","James, William, 1842-1910.",The will to believe : and other essays in popular philosophy,,"Longmans, Green, and Co.",New York,University of Illinois at Chicago,,,,,,
1916,"Hobson, J. A., 1858-1940.","Hobson, J.A. (John Atkinson), 1858-1940",The new protectionism,,G.P.Putnam's Sons,New York,University of Illinois at Chicago,,,,,,
1929,"Hibben, Paxton, 1880-1928.","Hibben, Paxton, 1880-1928","The peerless leader, William Jennings Bryan",,"Farrar and Rinehart, Inc.",New York,University of Illinois at Chicago,,,"Grattan, C. Hartley (Clinton Hartley), 1902-1980",,,
1909,"Wallas, Graham, 1858-1932.","Wallas, Graham, 1858-1932",Human nature in politics,,Houghton,Boston,University of Illinois at Chicago,,,,,,
1921,"Bass, John Foster, 1866-1931.","Bass, John Foster, 1866-1931",America and the balance sheet of Europe,,The Roland Press Co.,New York,University of Illinois at Chicago,,,"Moulton, Harold Glenn, 1883-1965.",,,
1895,"Spalding, John Lancaster, 1840-1916.","Spalding, John Lancaster, 1840-1916",Means and ends of education,,A. C. McClurg,Chicago,University of Illinois at Chicago,,,,,,
1897,"Wundt, Wilhelm Max, 1832-1920.","Wundt, Wilhelm Max, 1832-1920.",Ethics : an investigation of the facts and laws of the moral life,,"S. Sonnenschein ... co., lim. ; The Macmillan co.",London : New York,University of Illinois at Chicago,,,,,,
1891,"Booth, Charles, 1840-1916","Booth, Charles, 1840-1916",Labour and life of the people,,Williams and Norgate,London and Edinburgh,University of Illinois at Chicago,,,,,,
1933,"Harvey, Edwin Deeks, 1880-","Harvey, Edwin Deeks, 1880-",The mind of China,,Yale University Press,New Haven,University of Illinois at Chicago,,,,,,
1898,"Webb, Sidney, 1859-1947.","Webb, Sidney, 1859-1947.",Problems of modern industry,,"Longmans, Green, and Co.",London,University of Illinois at Chicago,,,"Webb, Beatrice, 1858-1943.",,,
1930,"Michalaros, Demetrios A., 1898-1967.","Michalaros, Demetrios A., 1898-1967.",Sonnets of an immigrant,,American Hellenic Book Pub. Co.,Chicago,University of Illinois at Chicago,,,"Addams, Jane, 1860-1935.",,,
1923,"East, Edward M., 1879-1938.","East, Edward M. (Edward Murray), 1879-1938",Mankind at the crossroads,,C. Scribner's Sons,New York,University of Illinois at Chicago,,,,,,
1927,,,"James Bronson Reynolds: a memorial : an outline of his public career, glimpses of his inner self, eulogies by friends and fellow-workers, and selections from his writings.",,University Settlement,New York,University of Illinois at Chicago,,,"Reynolds, James Bronson, 1861-1924",,,
1916,"Schevill, Ferdinand, 1868-1954.","Schevill, Ferdinand, 1868-1954",The making of modern Germany; six public lectures delivered in Chicago in 1915.,,A. C. McClurg,Chicago,University of Illinois at Chicago,,,,,,
1932,"Allen, Devere, 1891-1955","Allen, Devere, 1891-1955",Adventurous Americans,,Farrar & Rinehart Inc.,New York,University of Illinois at Chicago,,,,,,
1910,"James, William, 1842-1910.","James, William, 1842-1910.",Talks to teachers on psychology : and to students on some of life's ideals,,H. Holt and Co.,New York,University of Illinois at Chicago,,,,,,
1881,,,"Rockford Seminary thirtieth commencement : essays of graduating class, Wednesday June 22, 1881.",,""News" Steam Press""News" Steam Press""ews" Steam P""ws" Stea""s" St""" S"" S","De Kalb, Ill.",University of Illinois at Chicago,,,,,,
1907,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",Newer ideals of peace,Chautauqua home reading series,The Chautauqua Press,"Chautauqua, N. Y.",University of Illinois at Chicago,,,,,,
1931,"Thurstone, L. L., 1887-1955.","Thurstone, L. L. (Louis Leon), 1887-1955","Order of birth, parent-age, and intelligence",Behavior research fund. Monographs,The University of Chicago Press,"Chicago, Ill.",University of Illinois at Chicago,,,"Jenkins, Richard Leos, 1903-",,,
1929,"Woods, Eleanor Howard Bush.","Woods, Eleanor Howard Bush.",Robert A. Woods : champion of democracy,,Houghton Mifflin Co.,Boston,University of Illinois at Chicago,,,,,,
1925,"Abbott, Edith, 1876-1957.","Abbott, Edith, 1876-1957.",Immigration : select documents and case records,Social service series.,The University of Chicago Press,"Chicago,Ill.",University of Illinois at Chicago,,,,,,
1926,"Johnson, George William, 1857-1926.","Johnson, George William",The evolution of woman : from subjection to comradeship,,"R. Holden & Co., Ltd.",London,University of Illinois at Chicago,,,,,,
1916,"Bridges, Horace James, 1880-1955.","Bridges, Horace James, 1880-",Some outlines of the religion of experience : a book for laymen and the unchurched,,Macmillan,New York,University of Illinois at Chicago,,,,,,
1930,"Glueck, Sheldon, 1896-1980.","Glueck, Sheldon, 1896-1980",500 criminal careers,,A. A. Knopf,New York,University of Illinois at Chicago,,,"Glueck, Eleanor Touroff, 1898-1972",,,
1879,,,Code of medical ethics,,W. Wood,New York,University of Illinois at Chicago,,,,,,3rd ed.
1912,"Trollope, Anthony, 1815-1882.","Trollope, Anthony, 1815-1882.",The warden,,"Dodd, Mead",New York,University of Illinois at Chicago,,""On cover: The chronicles of Barsetshire. With inscription by Jane Addams, signed with her initials."""On cover: The chronicles of Barsetshire. With inscription by Jane Addams, signed with her initials."""",,,,
1913,"Dimock, Leila Allen.","Dimock, Leila Allen",Comrades from other lands : what they are doing for us and what we are doing for them,Interdenominational home mission study course,Fleming H. Revell Co.,New York,University of Illinois at Chicago,,,,,,
1916,"Fels, Mary, 1863-1953.","Fels, Mary",Joseph Fels; his life-work,,B. W. Huebsch,New York,University of Illinois at Chicago,,,,,,
1925,"Károlyi, Mihály, 1875-1955.","Károlyi, Mihály 1875-1955",Fighting the world : the struggle for peace,,A. & C. Boni,New York,University of Illinois at Chicago,,,"Dickes, E. W., 1876-.",,,
1911,"Zimmern, Alfred Eckhard, 1879-1957.","Zimmern, Alfred, 1879-1957.",The Greek commonwealth : politics and economics in fifth-century Athens,,The Clarendon Press,Oxford,University of Illinois at Chicago,,,,,,
1916,"Gibbons, Herbert Adams, 1880-1934.","Gibbons, Herbert Adams, 1880-1934",The new map of Africa (1900-1916) : a history of European expansion and colonial diplomacy,,Century,New York,University of Illinois at Chicago,,,,,,
1877,"Wilhelmine, Margravine, 1709-1758., consort of Friedrich, Margrave of Bayreuth","Wilhelmine,, Margravine, consort of Friedrich, Margrave of Bayreuth, 1709-1758","Memoirs of Frederica Sophia Wilhelmina : princess royal of Prussia, margravine of Baireuth, sister of Frederick the Great",,J. R. Osgood and company,Boston,University of Illinois at Chicago,,,"Howells, Wiiliam Dean, 1837-1920.",,,
1907,"Ostrovsky, Aleksandr Nikolaevich, 1823-1886.","Ostrovsky, Aleksandr Nikolaevich, 1823-1886",The storm,Modern plays.,J. W. Luce & Co.,Boston,University of Illinois at Chicago,,,"Garnett, Constance, 1861-1946",,,
1914,"Hobson, J. A., 1858-1940.","Hobson, J.A. (John Atkinson), 1858-1940",Work and wealth : a human valuation,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1923,"Robinson, James Harvey, 1863-1936.","Robinson, James Harvey, 1863-1936",The humanizing of knowledge,The workers' bookshelf,G. H. Doran,New York,University of Illinois at Chicago,,,,,,
1920,"Bass, John Foster, 1866-1931.","Bass, John Foster, 1866-1931",The peace tangle,,The Macmillan company,New York,University of Illinois at Chicago,,,,,,
1908,"Dickinson, G. Lowes, 1862-1932.","Dickinson, Goldsworthy Lowes, 1862-1932",Justice and liberty : a political dialogue,,The McClure Co.,New York,University of Illinois at Chicago,,,,,,
1932,"Foreman, Clark, 1902-1977.","Foreman, Clark, 1902-1977",Environmental factors in Negro elementary education,,"Thesis (PH.D.) - Columbia University, 1932.",New York,University of Illinois at Chicago,,,,,,
1890,"Warner, Amos Griswold, 1861-1900.","Warner, Amos Griswold, 1861-1900",Politics and crime.,,,Chicago,University of Illinois at Chicago,,,,,,
1917,"Cleghorn, Sarah Norcliffe, 1876-1959.","Cleghorn, Sarah Norcliffe, 1876-1959",Portraits and protests,,H. Holt and Co.,New York,University of Illinois at Chicago,,,,,,
1935,"Dilling, Elizabeth Kirkpatrick, 1894-1966.","Dilling, Elizabeth Kirkpatrick, 1894-1966","The red network : a "who's who" and handbook of radicalism for patriots""he red network : a "who's who" and handbook of rad""e red network : a "who's who" "" red networ",,The author,"Kenilworth, Ill.",University of Illinois at Chicago,,,,,,
1907,"Kropotkin, Petr Alekseevich, kni︠a︡zʹ, 1842-1921.","Kropotkin, Pëtr Alekseevič 1842-1921",The conquest of bread,,Putnam,New York,University of Illinois at Chicago,,,,,,
1906,"Devine, Edward T., 1867-1948.","Devine, Edward T. (Edward Thomas), 1867-1948",Efficiency and relief : a programme of social work,,The Columbia University Press,New York,University of Illinois at Chicago,,,,,,
1932,"Armstrong, Barbara Nachtrieb.","Armstrong, Barbara Nachtrieb, 1890-1976","Insuring the essentials : minimum wage, plus social insurance - a living wage program",,Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1912,"Hull, William I., 1868-1939.","Hull, William I. (William Isaac), 1868-1939",The new peace movement,,The World Peace Foundation,Boston,University of Illinois at Chicago,,,,,,
1911,"Key, Ellen, 1849-1926.","Key, Ellen, 1849-1926.",Love and ethics,,B. W. Huebsch,New York,University of Illinois at Chicago,,,,,,
1925,"Gompers, Samuel, 1850-1924.","Gompers, Samuel, 1850-1924.",Seventy years of life and labor : an autobiography,,E.P. Dutton & Co.,New York,University of Illinois at Chicago,,,"Thorne, Florence Calvert",,,
1915,"Tuttle, Florence Guertin, 1869-","Tuttle, Florence Guertin, 1869-1951",The awakening of woman : suggestions from the psychic side of feminism,,The Abingdon Press,New York,University of Illinois at Chicago,,,,,,
1906,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",A great iniquity,,Ancoats Brotherhood,Manchester Eng.,University of Illinois at Chicago,,,,,,
1901,"Dickinson, G. Lowes, 1862-1932.","Dickinson, Goldsworthy Lowes, 1862-1932",The meaning of good : a dialogue,,J. Maclehose,Glasgow,University of Illinois at Chicago,,,,,,
1931,"Pipkin, Charles W., 1899-1941","Pipkin, Charles W. (Charles Wooten), 1899-1941",Social politics and modern democracies,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1929,"Crane-Gartz, Kate.","Crane-Gartz, Kate","Travel diary, 1929",,M. C. Sinclair,"Pasadena, Calif.",University of Illinois at Chicago,,,,,,
1897,"Barnett, Canon, 1844-1913.","Barnett, Canon, 1844-1913",The ways of settlements and of missions.,,,n.p.,University of Illinois at Chicago,,,,,,
1912,"Goldmark, Josephine, 1877-1950.","Goldmark, Josephine Clara, 1877-1950",Fatigue and efficiency : a study in industry,Russell Sage foundation [publications],Charities Publication Committee,New York,University of Illinois at Chicago,,,"Brandeis, Louis Dembitz, 1856-1941",,,
1932,"Weldon, Richard E.","Weldon, Richard E.",The price of peace,,Darwell publishing co.,New York,University of Illinois at Chicago,,,,,,
1890,"Hugo, Victor, 1802-1885.","Hugo, Víctor, 1802-1885",Les misérables,,"Little, Brown",Boston,University of Illinois at Chicago,,,,,,
1925,"Dorsey, George A., 1868-1931","Dorsey, George Amos, 1868-1931",Why we behave like human beings,Harper modern science series,Harper & Brothers,New York,University of Illinois at Chicago,,,,,,
1909,"Gladden, Washington, 1836-1918.","Gladden, Washington, 1836-1918",Recollections,,Houghton Mifflin company,Boston,University of Illinois at Chicago,,,,,,
1926,"Nathan, Maud, 1862-1946.","Nathan, Maud, 1862-1946",The story of an epoch-making movement,,"Doubleday, Page & Co.","Garden City, N. Y.",University of Illinois at Chicago,,,,,,
1898,"Mill, John Stuart, 1806-1873.","Mill, John Stuart, 1806-1873.",On liberty : the subjection of women,,H. Holt and Co.,New York,University of Illinois at Chicago,,,,,,
